name,redshift,absmag,appmag,M-m,distance,velocity
SN2020aabz,0.03,-18.0,17.17,35.17,108.14339512979397,9000.0
SN2020aafb,0.078,-19.2,18.5,37.7,346.73685045253234,23400.0
SN2020aagu,0.073941,-19.6137,18.0,37.6137,333.2268594039262,22182.300000000003
SN2020aajo,0.06,-19.0,18.51,37.510000000000005,317.68740706497755,18000.0
SN2020aakp,0.023349,-18.5744,16.51,35.0844,103.96328649623607,7004.700000000001
SN2020aakx,0.04,-19.0,17.37,36.370000000000005,187.93168168032724,12000.0
SN2020aan,0.086,-19.5,18.4,37.9,380.18939632056123,25799.999999999996
SN2020aaqh,0.08,-19.0,18.93,37.93,385.4783576657721,24000.0
SN2020aary,0.026,-18.7,16.6,35.3,114.81536214968793,7800.0
SN2020aatc,0.015254,-18.8755,15.28,34.155499999999996,67.77975582993658,4576.2
SN2020aatr,0.05273,-18.369,18.5,36.869,236.48304020392206,15819.0
SN2020aauc,0.03339,-17.017,18.85,35.867000000000004,149.07334618664103,10017.0
SN2020aauk,0.039434,-18.9211,17.31,36.2311,176.2868834473097,11830.199999999999
SN2020aavb,0.020884,-18.8408,16.0,34.8408,92.93086936959837,6265.2
SN2020aawb,0.112,-19.68,18.85,38.53,508.15944256055997,33600.0
SN2020aawr,0.03,-19.0,17.04,36.04,161.43585568264868,9000.0
SN2020aaxd,0.1,-19.0,18.89,37.89,378.4425847170928,30000.0
SN2020aazq,0.058,-18.3,18.76,37.06,258.2260190634601,17400.0
SN2020abbi,0.025144,-17.1463,18.1,35.246300000000005,112.01082603706935,7543.2
SN2020abbl,0.021131,-16.7665,18.1,34.8665,94.03726726864814,6339.3
SN2020abbo,0.017,-16.4,17.99,34.39,75.50922276654342,5100.0
SN2020abcl,0.038913,-20.062,16.14,36.202,173.9402139780303,11673.900000000001
SN2020abcq,0.011,-14.8,18.66,33.46,49.20395356814511,3300.0
SN2020abcr,0.05,-19.0,18.03,37.03,254.68302525850444,15000.0
SN2020abcs,0.049,-19.2,17.53,36.730000000000004,221.81964198002194,14700.0
SN2020abdi,0.053,-19.1,17.81,36.91,240.9905428686593,15900.0
SN2020abdr,0.03,-18.0,17.9,35.9,151.3561248436207,9000.0
SN2020abdw,0.032779,-17.3262,18.5,35.8262,146.2985426732161,9833.7
SN2020abed,0.04,-18.0,18.14,36.14,169.0440931643263,12000.0
SN2020abfd,0.045,-18.2,18.35,36.55,204.17379446695233,13500.0
SN2020abfe,0.093,-19.8,18.35,38.150000000000006,426.5795188015934,27900.0
SN2020abge,0.089,-19.9,18.1,38.0,398.10717055349687,26700.0
SN2020abgn,0.074,-19.0,18.6,37.6,331.1311214825908,22200.0
